Id,SalePrice
1461,108017.90973336616
1462,168471.09829432255
1463,189445.71732650092
1464,198413.36215740972
1465,203046.3699395262
1466,167795.5135241635
1467,180812.43756290356
1468,159787.0515699787
1469,204089.92866296746
1470,113359.50079425791
1471,165115.15133014077
1472,95669.85014486092
1473,90615.44124770386
1474,142730.54525434563
1475,99450.01965255814
1476,376196.5580974935
1477,258213.72814978156
1478,307523.19070850813
1479,314096.3006448565
1480,408359.7831808065
1481,319457.71626412426
1482,211974.03906504688
1483,185258.00056670874
1484,160894.9125876227
1485,187875.00049456983
1486,193081.02160100086
1487,342955.6893521213
1488,225943.36423744616
1489,205921.98983835801
1490,259771.267268591
1491,198815.12754869
1492,98191.8071844874
1493,210318.96232664643
1494,312762.2449582672
1495,297364.8636636813
1496,250573.09086718512
1497,176815.060743339
1498,180133.69498331996
1499,169691.66599623946
1500,152499.96310857387
1501,176369.38367447664
1502,136163.6021409667
1503,284008.85002950765
1504,237462.5885190551
1505,232120.27170370694
1506,193274.31987194996
1507,248377.00999472418
1508,206420.4792731147
1509,157082.74697149504
1510,147458.06333916087
1511,156851.08385859267
1512,174426.1641722881
1513,148567.34545285
1514,179274.44928694714
1515,210967.13156125805
1516,163032.23148327303
1517,182303.7448361672
1518,118093.99898106151
1519,208971.88748238562
1520,127450.1427595169
1521,137994.55083605176
1522,178293.1843447304
1523,108406.57621809165
1524,124444.16067552345
1525,119936.96463969623
1526,102599.62161148433
1527,100230.39145604701
1528,136121.52080458537
1529,155754.8237428309
1530,196705.57200883876
1531,107601.75390471297
1532,90812.5025155475
1533,150453.22098099545
1534,124103.47780703485
1535,162704.5127481395
1536,101304.05383420759
1537,51916.49488732434
1538,160877.71319385874
1539,202888.93193938013
1540,131470.74634175602
1541,143072.93361432618
1542,162458.0933499302
1543,181151.70063555357
1544,77787.76190245617
1545,124678.4343162906
1546,142480.42999395594
1547,130734.9905614595
1548,149063.95243776136
1549,121523.53529917466
1550,147599.68008936924
1551,112951.02619039977
1552,155818.06148850033
1553,147257.89218251966
1554,117521.43512388691
1555,171179.99262931995
1556,63488.52306144487
1557,132625.1370080118
1558,109020.0236007187
1559,75279.72190628754
1560,136777.7731782925
1561,134203.87775142788
1562,127505.74800218263
1563,127051.5815901407
1564,151925.8698080168
1565,152700.22861490952
1566,243886.06274137786
1567,67951.07704512787
1568,234724.72943991038
1569,131537.27185451303
1570,134456.02501965972
1571,67869.11953140626
1572,146524.32778804295
1573,250146.461501012
1574,142962.50405418506
1575,241501.75384265737
1576,236328.93521704827
1577,178342.57742768712
1578,165927.56740894052
1579,149177.575113456
1580,190504.3426680875
1581,154134.7325108641
1582,134131.102020689
1583,278320.71084188006
1584,216536.63857394643
1585,133458.10345017264
1586,61350.87271073705
1587,113294.74781521363
1588,158826.32251163851
1589,95777.50750929746
1590,129445.7538146191
1591,83299.59532503539
1592,132530.00869279105
1593,129776.58182170789
1594,140119.3522000045
1595,121721.33058959607
1596,225941.33309267065
1597,213265.77873618458
1598,215288.50525303272
1599,186017.94981100748
1600,167692.5185863283
1601,52087.754025841656
1602,121874.63795827073
1603,72830.60485184012
1604,272377.10630606336
1605,225400.06992196728
1606,165455.6442949277
1607,181333.74472685938
1608,203953.08310802781
1609,188412.4982927465
1610,153466.16939648805
1611,130348.56205128529
1612,181553.45327184536
1613,161606.88335626957
1614,130512.79056690854
1615,87768.01779847132
1616,64621.52031380136
1617,83622.5070180851
1618,135675.81074640027
1619,145446.30044646532
1620,177056.19675299327
1621,125983.10175412754
1622,145890.11742803472
1623,265885.6015608148
1624,208987.73802853742
1625,118026.55591714883
1626,168135.17278525973
1627,191840.75924775418
1628,278681.0186045787
1629,178835.09255712776
1630,327844.8220359421
1631,238590.0245751157
1632,249283.4681894388
1633,176039.3099869807
1634,184561.8676236103
1635,169519.0431165257
1636,147774.28925215773
1637,188470.63513238786
1638,179852.486292165
1639,185797.8227659869
1640,243202.01925661508
1641,184606.64026543894
1642,252222.64501672742
1643,221897.6176479439
1644,240630.03579444147
1645,201921.46316932933
1646,160859.42978884355
1647,161632.89860645327
1648,126557.2942631456
1649,128703.60945185984
1650,115257.04921694048
1651,112775.94133870857
1652,93849.02893390588
1653,96732.23247717321
1654,140729.50996866694
1655,124708.23297657043
1656,141321.19115362572
1657,153807.27542895504
1658,146955.16869876283
1659,122577.40658266109
1660,150587.82748237113
1661,428634.97794358403
1662,387269.6939595019
1663,387436.5147508966
1664,423072.618624932
1665,335104.4168394931
1666,330367.61511036486
1667,365418.20118778315
